Order ID: ORD-00001, Turtle: Michelangelo, Pizza Type: Cheese, Quantity: 2, Price: $23.54, Order Date: 2024-01-02, Delivery Location: Rooftop
Order ID: ORD-00002, Turtle: Leonardo, Pizza Type: Cheese, Quantity: 2, Price: $13.05, Order Date: 2023-11-17, Delivery Location: Rooftop
Order ID: ORD-00003, Turtle: Raphael, Pizza Type: Cheese, Quantity: 5, Price: $20.67, Order Date: 2024-05-09, Delivery Location: April's Apartment
Order ID: ORD-00004, Turtle: Leonardo, Pizza Type: Hawaiian, Quantity: 4, Price: $15.90, Order Date: 2024-02-04, Delivery Location: Rooftop
Order ID: ORD-00005, Turtle: Michelangelo, Pizza Type: Hawaiian, Quantity: 4, Price: $17.22, Order Date: 2023-11-13, Delivery Location: Central Park
Order ID: ORD-00006, Turtle: Michelangelo, Pizza Type: Meat Lovers, Quantity: 2, Price: $24.61, Order Date: 2024-01-08, Delivery Location: Central Park
Order ID: ORD-00007, Turtle: Donatello, Pizza Type: Cheese, Quantity: 5, Price: $10.42, Order Date: 2024-05-09, Delivery Location: Sewer Lair
Order ID: ORD-00008, Turtle: Raphael, Pizza Type: Veggie, Quantity: 1, Price: $20.14, Order Date: 2024-06-13, Delivery Location: Rooftop
Order ID: ORD-00009, Turtle: Donatello, Pizza Type: Veggie, Quantity: 5, Price: $16.82, Order Date: 2023-09-25, Delivery Location: Rooftop
Order ID: ORD-00010, Turtle: Michelangelo, Pizza Type: Meat Lovers, Quantity: 4, Price: $10.45, Order Date: 2023-12-23, Delivery Location: Central Park
Order ID: ORD-00011, Turtle: Leonardo, Pizza Type: Cheese, Quantity: 5, Price: $24.58, Order Date: 2023-08-15, Delivery Location: Sewer Lair
Order ID: ORD-00012, Turtle: Donatello, Pizza Type: Pepperoni, Quantity: 3, Price: $17.82, Order Date: 2024-06-24, Delivery Location: Sewer Lair
Order ID: ORD-00013, Turtle: Donatello, Pizza Type: Meat Lovers, Quantity: 1, Price: $19.19, Order Date: 2024-05-29, Delivery Location: Central Park
Order ID: ORD-00014, Turtle: Raphael, Pizza Type: Meat Lovers, Quantity: 2, Price: $15.82, Order Date: 2024-07-30, Delivery Location: Sewer Lair
Order ID: ORD-00015, Turtle: Leonardo, Pizza Type: Supreme, Quantity: 2, Price: $17.39, Order Date: 2023-11-13, Delivery Location: Rooftop
Order ID: ORD-00016, Turtle: Michelangelo, Pizza Type: Supreme, Quantity: 3, Price: $15.66, Order Date: 2024-01-05, Delivery Location: Central Park
Order ID: ORD-00017, Turtle: Michelangelo, Pizza Type: Meat Lovers, Quantity: 3, Price: $10.29, Order Date: 2024-01-19, Delivery Location: Central Park
Order ID: ORD-00018, Turtle: Michelangelo, Pizza Type: Supreme, Quantity: 3, Price: $14.88, Order Date: 2023-10-27, Delivery Location: Rooftop
Order ID: ORD-00019, Turtle: Leonardo, Pizza Type: Hawaiian, Quantity: 1, Price: $16.81, Order Date: 2024-05-30, Delivery Location: Rooftop
Order ID: ORD-00020, Turtle: Raphael, Pizza Type: Supreme, Quantity: 4, Price: $24.40, Order Date: 2024-07-01, Delivery Location: Rooftop
Order ID: ORD-00021, Turtle: Raphael, Pizza Type: Cheese, Quantity: 1, Price: $15.58, Order Date: 2024-07-21, Delivery Location: Rooftop
Order ID: ORD-00022, Turtle: Donatello, Pizza Type: Meat Lovers, Quantity: 2, Price: $11.99, Order Date: 2024-03-10, Delivery Location: Central Park
Order ID: ORD-00023, Turtle: Michelangelo, Pizza Type: Cheese, Quantity: 5, Price: $24.06, Order Date: 2024-07-14, Delivery Location: Rooftop
Order ID: ORD-00024, Turtle: Donatello, Pizza Type: Veggie, Quantity: 4, Price: $14.41, Order Date: 2024-04-04, Delivery Location: Sewer Lair
Order ID: ORD-00025, Turtle: Michelangelo, Pizza Type: Cheese, Quantity: 4, Price: $21.32, Order Date: 2024-01-21, Delivery Location: Central Park
Order ID: ORD-00026, Turtle: Donatello, Pizza Type: Veggie, Quantity: 1, Price: $16.06, Order Date: 2023-08-22, Delivery Location: Rooftop
Order ID: ORD-00027, Turtle: Leonardo, Pizza Type: Hawaiian, Quantity: 5, Price: $17.90, Order Date: 2024-05-09, Delivery Location: April's Apartment
Order ID: ORD-00028, Turtle: Leonardo, Pizza Type: Cheese, Quantity: 3, Price: $19.25, Order Date: 2024-01-11, Delivery Location: April's Apartment
Order ID: ORD-00029, Turtle: Michelangelo, Pizza Type: Meat Lovers, Quantity: 5, Price: $15.24, Order Date: 2024-05-07, Delivery Location: Central Park
Order ID: ORD-00030, Turtle: Leonardo, Pizza Type: Cheese, Quantity: 2, Price: $20.43, Order Date: 2023-11-19, Delivery Location: April's Apartment
Order ID: ORD-00031, Turtle: Leonardo, Pizza Type: Supreme, Quantity: 5, Price: $10.93, Order Date: 2023-11-18, Delivery Location: April's Apartment
Order ID: ORD-00032, Turtle: Michelangelo, Pizza Type: Pepperoni, Quantity: 1, Price: $10.41, Order Date: 2023-12-01, Delivery Location: Central Park
Order ID: ORD-00033, Turtle: Leonardo, Pizza Type: Hawaiian, Quantity: 5, Price: $17.69, Order Date: 2023-09-18, Delivery Location: April's Apartment
Order ID: ORD-00034, Turtle: Raphael, Pizza Type: Supreme, Quantity: 1, Price: $13.68, Order Date: 2024-05-26, Delivery Location: Sewer Lair
Order ID: ORD-00035, Turtle: Michelangelo, Pizza Type: Meat Lovers, Quantity: 2, Price: $23.86, Order Date: 2023-09-15, Delivery Location: April's Apartment
Order ID: ORD-00036, Turtle: Leonardo, Pizza Type: Hawaiian, Quantity: 3, Price: $11.89, Order Date: 2024-06-15, Delivery Location: Central Park
Order ID: ORD-00037, Turtle: Michelangelo, Pizza Type: Meat Lovers, Quantity: 5, Price: $21.38, Order Date: 2023-12-15, Delivery Location: Sewer Lair
Order ID: ORD-00038, Turtle: Raphael, Pizza Type: Veggie, Quantity: 5, Price: $22.35, Order Date: 2024-01-24, Delivery Location: Sewer Lair
