Order ID,Pizza Type,Turtle,Quantity,Price,Order Date,Delivery Location
ORD-00001,Cheese,Michelangelo,2,23.54,2024-01-02,Rooftop
ORD-00002,Cheese,Leonardo,2,13.05,2023-11-17,Rooftop
ORD-00003,Cheese,Raphael,5,20.67,2024-05-09,April's Apartment
ORD-00004,Hawaiian,Leonardo,4,15.9,2024-02-04,Rooftop
ORD-00005,Hawaiian,Michelangelo,4,17.22,2023-11-13,Central Park
ORD-00006,Meat Lovers,Michelangelo,2,24.61,2024-01-08,Central Park
ORD-00007,Cheese,Donatello,5,10.42,2024-05-09,Sewer Lair
ORD-00008,Veggie,Raphael,1,20.14,2024-06-13,Rooftop
ORD-00009,Veggie,Donatello,5,16.82,2023-09-25,Rooftop
ORD-00010,Meat Lovers,Michelangelo,4,10.45,2023-12-23,Central Park
ORD-00011,Cheese,Leonardo,5,24.58,2023-08-15,Sewer Lair
ORD-00012,Pepperoni,Donatello,3,17.82,2024-06-24,Sewer Lair
ORD-00013,Meat Lovers,Donatello,1,19.19,2024-05-29,Central Park
ORD-00014,Meat Lovers,Raphael,2,15.82,2024-07-30,Sewer Lair
ORD-00015,Supreme,Leonardo,2,17.39,2023-11-13,Rooftop
ORD-00016,Supreme,Michelangelo,3,15.66,2024-01-05,Central Park
ORD-00017,Meat Lovers,Michelangelo,3,10.29,2024-01-19,Central Park
ORD-00018,Supreme,Michelangelo,3,14.88,2023-10-27,Rooftop
ORD-00019,Hawaiian,Leonardo,1,16.81,2024-05-30,Rooftop
ORD-00020,Supreme,Raphael,4,24.4,2024-07-01,Rooftop
ORD-00021,Cheese,Raphael,1,15.58,2024-07-21,Rooftop
ORD-00022,Meat Lovers,Donatello,2,11.99,2024-03-10,Central Park
ORD-00023,Cheese,Michelangelo,5,24.06,2024-07-14,Rooftop
ORD-00024,Veggie,Donatello,4,14.41,2024-04-04,Sewer Lair
ORD-00025,Cheese,Michelangelo,4,21.32,2024-01-21,Central Park
ORD-00026,Veggie,Donatello,1,16.06,2023-08-22,Rooftop
ORD-00027,Hawaiian,Leonardo,5,17.9,2024-05-09,April's Apartment
ORD-00028,Cheese,Leonardo,3,19.25,2024-01-11,April's Apartment
ORD-00029,Meat Lovers,Michelangelo,5,15.24,2024-05-07,Central Park
ORD-00030,Cheese,Leonardo,2,20.43,2023-11-19,April's Apartment
ORD-00031,Supreme,Leonardo,5,10.93,2023-11-18,April's Apartment
ORD-00032,Pepperoni,Michelangelo,1,10.41,2023-12-01,Central Park
ORD-00033,Hawaiian,Leonardo,5,17.69,2023-09-18,April's Apartment
ORD-00034,Supreme,Raphael,1,13.68,2024-05-26,Sewer Lair
ORD-00035,Meat Lovers,Michelangelo,2,23.86,2023-09-15,April's Apartment
ORD-00036,Hawaiian,Leonardo,3,11.89,2024-06-15,Central Park
ORD-00037,Meat Lovers,Michelangelo,5,21.38,2023-12-15,Sewer Lair
ORD-00038,Veggie,Raphael,5,22.35,2024-01-24,Sewer Lair
ORD-00039,Cheese,Leonardo,3,17.61,2024-05-25,Rooftop
ORD-00040,Hawaiian,Raphael,1,11.73,2024-05-08,Rooftop
ORD-00041,Supreme,Donatello,5,24.31,2024-07-27,Central Park
ORD-00042,Hawaiian,Donatello,2,11.79,2023-08-18,Central Park
ORD-00043,Pepperoni,Raphael,3,15.63,2023-10-04,Central Park
ORD-00044,Hawaiian,Leonardo,1,10.79,2023-11-04,Rooftop
ORD-00045,Supreme,Raphael,1,22.38,2024-01-08,Sewer Lair
ORD-00046,Cheese,Leonardo,5,23.09,2024-06-23,April's Apartment
ORD-00047,Hawaiian,Leonardo,2,15.67,2023-08-05,April's Apartment
ORD-00048,Supreme,Leonardo,2,21.05,2024-02-04,Rooftop
ORD-00049,Cheese,Leonardo,4,12.44,2023-11-10,Sewer Lair
ORD-00050,Veggie,Leonardo,4,13.3,2024-02-10,April's Apartment
ORD-00051,Pepperoni,Michelangelo,3,15.03,2024-01-01,Rooftop
ORD-00052,Pepperoni,Donatello,4,19.59,2024-07-15,April's Apartment
ORD-00053,Meat Lovers,Raphael,2,20.01,2024-07-27,Central Park
ORD-00054,Meat Lovers,Raphael,3,12.14,2023-12-04,Rooftop
ORD-00055,Supreme,Donatello,2,24.59,2023-09-10,Rooftop
ORD-00056,Pepperoni,Donatello,1,15.84,2024-06-11,Rooftop
ORD-00057,Meat Lovers,Donatello,5,19.45,2023-09-27,Rooftop
ORD-00058,Cheese,Michelangelo,4,14.49,2024-02-21,Central Park
ORD-00059,Veggie,Donatello,2,22.78,2024-05-04,Sewer Lair
ORD-00060,Cheese,Michelangelo,5,15.13,2024-05-30,Central Park
ORD-00061,Pepperoni,Donatello,1,17.02,2024-02-22,April's Apartment
ORD-00062,Meat Lovers,Donatello,4,24.47,2023-11-02,Rooftop
ORD-00063,Veggie,Leonardo,2,19.66,2024-06-24,April's Apartment
ORD-00064,Supreme,Michelangelo,3,13.56,2023-08-02,April's Apartment
ORD-00065,Veggie,Raphael,4,22.77,2024-07-11,April's Apartment
ORD-00066,Pepperoni,Donatello,2,12.12,2024-03-22,Central Park
ORD-00067,Supreme,Donatello,4,11.72,2024-04-09,Rooftop
ORD-00068,Supreme,Michelangelo,3,23.28,2023-10-03,Rooftop
ORD-00069,Veggie,Donatello,2,18.53,2024-02-09,Rooftop
ORD-00070,Hawaiian,Leonardo,4,14.09,2024-06-25,Sewer Lair
ORD-00071,Cheese,Michelangelo,2,20.67,2023-10-26,Sewer Lair
ORD-00072,Meat Lovers,Leonardo,3,20.6,2024-04-24,Sewer Lair
